,D,DevE2R,DevR2E,DevtE2R,DevtR2E,HitRate_0.5F,HitRate_0.5P,HitRate_0.5R,HitRate_3F,HitRate_3P,HitRate_3R,HitRate_t0.5F,HitRate_t0.5P,HitRate_t0.5R,HitRate_t3F,HitRate_t3P,HitRate_t3R,HitRate_w0.5F,HitRate_w3F,HitRate_wt0.5F,HitRate_wt3F,PWF,PWP,PWR,Sf,So,Su,ds_name,track_id
130,0.49850737822208474,1.9040300000000059,0.6501599999999712,3.947400000000016,0.6501599999999996,0.21428571428571427,0.15789473684210525,0.3333333333333333,0.6428571428571429,0.47368421052631576,1.0,0.08333333333333333,0.058823529411764705,0.14285714285714285,0.5833333333333334,0.4117647058823529,1.0,0.1820080262942853,0.546024078882856,0.06904747142827619,0.48333229999793326,0.8069822197493436,0.810660190686495,0.8033374720377564,0.8288862464360301,0.8145971394971626,0.843685603350667,SALAMI,SALAMI_1278
131,0.4952715038974377,5.479910000000018,0.0,7.7090200000000095,0.4644000000000119,0.3888888888888889,0.28,0.6363636363636364,0.5,0.36,0.8181818181818182,0.3125,0.21739130434782608,0.5555555555555556,0.43750000000000006,0.30434782608695654,0.7777777777777778,0.32594667670137006,0.41907429861604717,0.25672747391230843,0.3594184634772319,0.7353229027029846,0.6415302450683503,0.8612370098345726,0.733541712289959,0.796919845850501,0.6795017101902576,SALAMI,SALAMI_1280
132,0.6836336554120097,0.5572799999999916,0.0,0.8823549999999898,0.5108400000000017,0.47058823529411764,0.4,0.5714285714285714,0.8235294117647058,0.7,1.0,0.3076923076923077,0.25,0.4,0.7692307692307693,0.625,1.0,0.432673940492764,0.757179395862337,0.27605866556496594,0.6901466639124147,0.9081378972646387,0.9216777622250953,0.8949900863840416,0.9116252281639711,0.9085717968409436,0.9146992519856147,SALAMI,SALAMI_1282
133,0.6208945998449145,4.202810000000024,0.6037200000000098,28.862400000000022,1.8111550000000096,0.3333333333333333,0.25,0.5,0.5555555555555556,0.4166666666666667,0.8333333333333334,0.14285714285714288,0.1,0.25,0.4285714285714285,0.3,0.75,0.28599554870741317,0.4766592478456886,0.11779015653645467,0.35337046960936397,0.878014551848354,0.8385444247723249,0.9213839181713198,0.8162754283154496,0.8267794531703668,0.8060349570622658,SALAMI,SALAMI_1284
134,0.6061799260180537,0.5804999999999865,0.0,1.207439999999977,0.25542,0.4375,0.35,0.5833333333333334,0.6874999999999999,0.55,0.9166666666666666,0.35714285714285715,0.2777777777777778,0.5,0.6428571428571429,0.5,0.9,0.3891865805764495,0.6115789123344206,0.3127691443549897,0.5629844598389815,0.9244078859741751,0.8925608482419807,0.9586116508784713,0.8993625468682707,0.911115925092364,0.8879085434292788,SALAMI,SALAMI_1286
135,0.5431943579658689,2.6935149999999908,0.0,3.1346950000000007,0.37151500000000226,0.35714285714285715,0.25,0.625,0.4999999999999999,0.35,0.875,0.25,0.16666666666666666,0.5,0.4166666666666667,0.2777777777777778,0.8333333333333334,0.2944753913411367,0.4122655478775913,0.20027574631339168,0.33379291052231946,0.6896547424158406,0.639632391687611,0.7481648575936256,0.6671203847444657,0.7103696801125725,0.6288351404703343,SALAMI,SALAMI_1288
136,0.5462767553764836,5.479910000000018,0.0,7.801899999999989,1.300309999999996,0.3333333333333333,0.23529411764705882,0.5714285714285714,0.4166666666666667,0.29411764705882354,0.7142857142857143,0.2,0.13333333333333333,0.4,0.3,0.2,0.6,0.27618988571310477,0.345237357141381,0.16022059705071334,0.24033089557607004,0.8643768241048387,0.8652562781463429,0.8634991560176197,0.816391377471647,0.8274793727403149,0.8055966052492561,SALAMI,SALAMI_1290
137,0.4976021724039902,6.246169999999992,0.7894750000000101,12.678094999999999,1.6486200000000153,0.25000000000000006,0.18181818181818182,0.4,0.4375,0.3181818181818182,0.7,0.14285714285714288,0.1,0.25,0.35714285714285715,0.25,0.625,0.21075540135625295,0.3688219523734427,0.11779015653645467,0.2944753913411367,0.8481056123855091,0.8459309323305652,0.8502915023919729,0.7463951700570896,0.732100206345476,0.7612594970872728,SALAMI,SALAMI_1292
138,0.594065273716622,2.1594600000000046,0.3250799999999998,3.390115000000005,0.9520149999999958,0.36363636363636365,0.2857142857142857,0.5,0.6363636363636364,0.5,0.875,0.2222222222222222,0.16666666666666666,0.3333333333333333,0.5555555555555556,0.4166666666666667,0.8333333333333334,0.32026457055214724,0.5604629984662578,0.19066369913827544,0.4766592478456886,0.8954364467239984,0.8863196635204547,0.9047427316673229,0.8474685746932649,0.8419848044745432,0.8530242437730284,SALAMI,SALAMI_1294
139,0.642924946040056,1.1377799999999887,0.0,10.86694,0.8823599999999985,0.4,0.3,0.6,0.6666666666666666,0.5,1.0,0.18181818181818182,0.125,0.3333333333333333,0.5454545454545454,0.375,1.0,0.34319465844889574,0.5719910974148263,0.1483372552501887,0.44501176575056606,0.8870916237565871,0.9586675168186964,0.825461163819318,0.821943414020262,0.7838473094062646,0.86393173678271,SALAMI,SALAMI_1296
140,0.5729129759750271,5.8514299999999935,0.0,6.176499999999976,0.32507999999999937,0.46153846153846156,0.35294117647058826,0.6666666666666666,0.5384615384615384,0.4117647058823529,0.7777777777777778,0.36363636363636365,0.26666666666666666,0.5714285714285714,0.4545454545454545,0.3333333333333333,0.7142857142857143,0.40036749285985346,0.4670954083364956,0.30801853089635145,0.3850231636204393,0.8485336966793713,0.8448543837972375,0.8522451963053891,0.8059433249878034,0.8073255294085612,0.8045658453618777,SALAMI,SALAMI_1298
141,0.5181847065028649,5.131610000000023,0.6965999999999894,16.137865000000005,0.6966000000000037,0.30303030303030304,0.22727272727272727,0.45454545454545453,0.5454545454545455,0.4090909090909091,0.8181818181818182,0.20689655172413793,0.15,0.3333333333333333,0.48275862068965514,0.35,0.7777777777777778,0.2599959533703756,0.46799271606667603,0.17410411853601762,0.40624294325070787,0.8713153251948372,0.8771591127807409,0.865548886966076,0.840498072699394,0.8398632454194384,0.8411338603988655,SALAMI,SALAMI_1300
