,D,DevE2R,DevR2E,DevtE2R,DevtR2E,HitRate_0.5F,HitRate_0.5P,HitRate_0.5R,HitRate_3F,HitRate_3P,HitRate_3R,HitRate_t0.5F,HitRate_t0.5P,HitRate_t0.5R,HitRate_t3F,HitRate_t3P,HitRate_t3R,HitRate_w0.5F,HitRate_w3F,HitRate_wt0.5F,HitRate_wt3F,PWF,PWP,PWR,Sf,So,Su,ds_name,track_id
203,0.5223817198902911,4.637415000000004,15.912584999999995,8.62617500000001,24.44304499999999,0.1,0.16666666666666666,0.07142857142857142,0.3,0.5,0.21428571428571427,0.0,0.0,0.0,0.125,0.25,0.08333333333333333,0.12478523941136924,0.37435571823410774,0.0,0.16628508859247462,0.3041265138412401,0.26842478381155993,0.35078215244507305,0.3638044121518372,0.4108175301507707,0.3264465379550133,SALAMI,SALAMI_1418
204,0.5888357863647751,2.595380000000006,6.824709999999996,2.9988799999999998,16.297799999999995,0.12500000000000003,0.2,0.09090909090909091,0.5000000000000001,0.8,0.36363636363636365,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.2222222222222222,0.15360213323525357,0.6144085329410143,0.0,0.4434269029132657,0.48773163998462177,0.36904391359907124,0.718953245012102,0.5338358084805721,0.6876505153250402,0.4362538808843086,SALAMI,SALAMI_1419
205,0.5502800083248099,2.3007500000000007,5.379784999999998,3.2319499999999977,9.546824999999998,0.08695652173913043,0.1111111111111111,0.07142857142857142,0.43478260869565216,0.5555555555555556,0.35714285714285715,0.0,0.0,0.0,0.3157894736842105,0.42857142857142855,0.25,0.09747913870572446,0.4873956935286222,0.0,0.36325746593215424,0.43110430189896387,0.37645986866287084,0.5043060431755111,0.5506285730546427,0.6263638386111365,0.49123239813326025,SALAMI,SALAMI_1420
206,0.5831131817437545,0.466850000000008,14.095349999999996,0.466850000000008,14.830979999999997,0.33333333333333337,0.4444444444444444,0.26666666666666666,0.5,0.6666666666666666,0.4,0.3,0.42857142857142855,0.23076923076923078,0.4,0.5714285714285714,0.3076923076923077,0.3805781005268404,0.5708671507902606,0.35251292512221716,0.47001723349628954,0.39890587409514927,0.40656076103517386,0.39153391849463837,0.41272042706729806,0.4014569127059736,0.4246342177085697,SALAMI,SALAMI_1422
207,0.5047756118369859,0.7163099999999929,20.912080000000003,0.7228299999999976,21.76147000000003,0.16,0.3333333333333333,0.10526315789473684,0.4799999999999999,1.0,0.3157894736842105,0.09523809523809523,0.25,0.058823529411764705,0.38095238095238093,1.0,0.23529411764705882,0.21569450272765422,0.6470835081829627,0.13750668806848582,0.5500267522739433,0.6178713669310296,0.6997628993662168,0.5531388828214001,0.5422644343394744,0.4782889327856311,0.6259972717194691,SALAMI,SALAMI_1423
208,0.502001619189632,7.500040000000013,11.097439999999992,11.097439999999992,11.316400000000016,0.2857142857142857,0.36363636363636365,0.23529411764705882,0.2857142857142857,0.36363636363636365,0.23529411764705882,0.16666666666666669,0.2222222222222222,0.13333333333333333,0.16666666666666669,0.2222222222222222,0.13333333333333333,0.31973586621049355,0.31973586621049355,0.1902890502634202,0.1902890502634202,0.39108596507406884,0.3274659782615372,0.4853867494215439,0.39545597709240304,0.5044703284741046,0.32518465939156327,SALAMI,SALAMI_1424
209,0.6116441898549713,16.74087999999999,11.958980000000011,16.842269999999985,36.61861999999999,0.1111111111111111,0.14285714285714285,0.09090909090909091,0.2222222222222222,0.2857142857142857,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.12489252738215394,0.24978505476430787,0.0,0.0,0.5485756286489519,0.4742087894583819,0.6506055320452254,0.600599595659691,0.6676212515738644,0.5458067445585579,SALAMI,SALAMI_1427
210,0.45198536542359785,1.6824650000000005,8.647050000000007,2.5242800000000045,12.35821,0.14634146341463414,0.16666666666666666,0.13043478260869565,0.3902439024390244,0.4444444444444444,0.34782608695652173,0.1081081081081081,0.125,0.09523809523809523,0.3243243243243243,0.375,0.2857142857142857,0.15577452092690736,0.41539872247175297,0.11588421983663133,0.34765265950989405,0.33118349987839163,0.27604035474736216,0.41385769857250754,0.4548804466049134,0.5396370614568423,0.39313394230895937,SALAMI,SALAMI_1428
211,0.49821512321568356,5.217890000000001,7.9352599999999995,6.692105000000012,9.904059999999998,0.07142857142857144,0.08333333333333333,0.0625,0.21428571428571427,0.25,0.1875,0.0,0.0,0.0,0.08333333333333333,0.1,0.07142857142857142,0.07688236377025037,0.2306470913107511,0.0,0.09085223255560994,0.34800638899541897,0.26915043689358364,0.49221642835513785,0.45622750274699503,0.5765271944583511,0.3774647152885634,SALAMI,SALAMI_1431
212,0.4148563891507947,4.523900000000005,6.748250000000013,4.806294999999999,6.8696399999999755,0.11320754716981131,0.13636363636363635,0.0967741935483871,0.22641509433962262,0.2727272727272727,0.1935483870967742,0.04081632653061224,0.05,0.034482758620689655,0.16326530612244897,0.2,0.13793103448275862,0.12363237162487203,0.24726474324974407,0.04491255427549772,0.1796502171019909,0.47719359248039117,0.4709490137797157,0.4836059972666613,0.5395392101116845,0.5897129241243445,0.4972337697205943,SALAMI,SALAMI_1432
213,0.5660273828745788,3.1245300000000027,2.5320700000000045,3.78414,8.283470000000001,0.11764705882352942,0.16666666666666666,0.09090909090909091,0.3529411764705882,0.5,0.2727272727272727,0.0,0.0,0.0,0.15384615384615383,0.25,0.1111111111111111,0.13776751474166016,0.4133025442249804,0.0,0.1901644942796972,0.40873429566665365,0.384087626384208,0.4367609821381046,0.44656928569192456,0.46071234175856934,0.43326870097896075,SALAMI,SALAMI_1434
214,0.5743926646719121,0.9726850000000056,3.9938300000000027,2.717445000000005,5.406739999999999,0.26086956521739135,0.375,0.2,0.43478260869565216,0.625,0.3333333333333333,0.10526315789473684,0.16666666666666666,0.07692307692307693,0.3157894736842105,0.5,0.23076923076923078,0.30731258623332824,0.5121876437222137,0.12883199012840782,0.3864959703852235,0.569777974878516,0.48409242995308616,0.6923203758728778,0.6710954346550289,0.7633187816023919,0.598754558572288,SALAMI,SALAMI_1435
